Month,DayofMonth,Origin,Dest,O_Latitude,O_Longitude,D_Latitude,D_Longitude
1,5,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
1,10,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
1,15,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
1,20,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
1,25,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
1,30,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,4,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,9,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,14,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,19,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,24,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
2,29,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,5,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,10,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,15,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,20,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,25,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
3,30,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,4,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,9,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,14,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,19,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,24,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
4,29,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,4,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,9,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,14,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,19,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,24,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
5,29,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,3,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,8,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,13,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,18,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,23,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
6,28,SFO,BWI,37.61897222,-122.3748889,39.17536111,-76.66833333
