Month,DayofMonth,Origin,Dest
1,1,363,362
1,2,383,381
1,3,380,379
1,4,381,377
1,5,342,340
1,6,367,364
1,7,360,360
1,8,356,355
1,9,358,358
1,10,360,357
1,11,360,361
1,12,295,295
1,13,340,337
1,14,358,359
1,15,355,346
1,16,358,357
1,17,360,358
1,18,361,362
1,19,300,300
1,20,341,337
1,21,358,357
1,22,354,354
1,23,358,357
1,24,359,358
1,25,359,357
1,26,301,301
1,27,341,339
1,28,359,358
1,29,354,354
1,30,358,357
1,31,359,358
2,1,360,360
2,2,300,301
2,3,340,335
2,4,358,358
2,5,354,353
2,6,357,356
2,7,360,358
2,8,360,361
2,9,300,301
2,10,341,337
2,11,358,359
2,12,355,351
2,13,363,362
2,14,367,364
2,15,367,369
2,16,320,321
2,17,349,345
2,18,366,365
2,19,365,364
2,20,365,364
2,21,367,365
2,22,367,368
2,23,320,321
2,24,353,349
2,25,366,366
2,26,364,366
2,27,361,359
2,28,362,361
2,29,362,364
3,1,322,322
3,2,352,347
3,3,366,365
3,4,362,361
3,5,363,361
3,6,365,364
3,7,365,367
3,8,321,322
3,9,358,352
3,10,375,374
3,11,371,370
3,12,372,370
3,13,374,372
3,14,375,376
3,15,323,324
3,16,358,353
3,17,375,374
3,18,371,371
3,19,372,370
3,20,374,373
3,21,373,376
3,22,323,324
3,23,358,354
3,24,375,374
3,25,371,370
3,26,372,370
3,27,373,372
3,28,374,376
3,29,322,320
3,30,350,348
3,31,369,370
4,1,369,368
4,2,367,366
4,3,369,368
4,4,369,370
4,5,318,318
4,6,351,350
4,7,371,372
4,8,367,366
4,9,374,372
4,10,375,375
4,11,376,376
4,12,325,324
4,13,356,356
4,14,374,374
4,15,368,367
4,16,375,373
4,17,376,375
4,18,377,377
4,19,327,326
4,20,357,357
4,21,373,374
4,22,367,366
4,23,376,374
4,24,377,375
4,25,378,378
4,26,328,327
4,27,359,360
4,28,377,377
4,29,370,369
4,30,376,374
5,1,378,378
5,2,381,382
5,3,329,326
5,4,360,363
5,5,382,383
5,6,373,373
5,7,384,382
5,8,384,383
5,9,386,384
5,10,332,329
5,11,365,368
5,12,385,385
5,13,372,372
5,14,385,383
5,15,387,384
5,16,389,388
5,17,334,331
5,18,365,368
5,19,386,386
5,20,376,375
5,21,388,386
5,22,388,387
5,23,390,389
5,24,331,329
5,25,313,315
5,26,381,380
5,27,378,377
5,28,385,383
5,29,386,385
5,30,388,387
5,31,334,332
6,1,364,366
6,2,386,386
6,3,377,375
6,4,385,383
6,5,395,393
6,6,397,395
6,7,351,351
6,8,389,383
6,9,394,393
6,10,393,391
6,11,396,393
6,12,398,395
6,13,400,398
6,14,359,359
